episode,score,lines_cleared,episode_length,episode_reward,score_ma_20,reward_ma_20
0,0,0,23,-84.52000000000001,0.0,-84.52000000000001
1,0,0,37,-33.460000000000015,0.0,-58.99000000000001
2,0,0,36,-37.42,0.0,-51.80000000000001
3,0,0,38,-34.539999999999985,0.0,-47.485
4,0,0,38,-34.36,0.0,-44.86
5,0,0,38,-33.45999999999999,0.0,-42.96
6,0,0,38,-33.45999999999999,0.0,-41.60285714285714
7,0,0,38,-33.82,0.0,-40.629999999999995
8,100,1,41,-21.48000000000001,11.11111111111111,-38.50222222222222
9,100,1,41,-21.480000000000004,20.0,-36.8
10,100,1,33,-37.14,27.272727272727273,-36.83090909090909
11,0,0,8,-53.44,25.0,-38.214999999999996
12,0,0,33,-47.139999999999986,23.076923076923077,-38.90153846153846
13,0,0,8,-53.44,21.428571428571427,-39.94
14,100,1,38,-29.40000000000002,26.666666666666668,-39.23733333333333
15,0,0,35,-39.03999999999999,25.0,-39.225
16,0,0,37,-36.15999999999998,23.529411764705884,-39.04470588235294
17,0,0,24,-40.839999999999996,22.22222222222222,-39.144444444444446
18,0,0,13,-46.599999999999994,21.05263157894737,-39.536842105263155
19,0,0,16,-65.13999999999999,20.0,-40.81699999999999
20,0,0,12,-47.68,20.0,-38.975
21,0,0,11,-50.019999999999996,20.0,-39.803
22,0,0,9,-54.879999999999995,20.0,-40.676
23,100,1,33,-36.06,25.0,-40.751999999999995
24,0,0,11,-46.96000000000001,25.0,-41.38199999999999
25,0,0,8,-46.96,25.0,-42.057
26,0,0,10,-49.66,25.0,-42.867
27,0,0,19,-31.12000000000001,25.0,-42.732
28,0,0,29,-47.86,20.0,-44.051
29,0,0,12,-41.199999999999996,15.0,-45.037
30,0,0,15,-42.99999999999999,10.0,-45.33
31,0,0,12,-41.199999999999996,10.0,-44.717999999999996
32,0,0,10,-44.08,10.0,-44.565
33,0,0,18,-40.3,10.0,-43.908
34,0,0,11,-49.66,5.0,-44.921
35,0,0,9,-45.519999999999996,5.0,-45.24499999999999
36,100,1,32,-37.85999999999999,10.0,-45.33
37,0,0,18,-40.66,10.0,-45.32099999999999
38,0,0,14,-44.44,10.0,-45.213
39,100,1,21,-26.519999999999982,15.0,-43.282
40,0,0,14,-45.339999999999996,15.0,-43.165
41,0,0,19,-31.12000000000001,15.0,-42.22
42,0,0,11,-43.72,15.0,-41.66199999999999
43,0,0,21,-46.06000000000001,10.0,-42.162
44,0,0,19,-31.840000000000025,10.0,-41.406
45,0,0,20,-31.840000000000032,10.0,-40.65
46,0,0,10,-44.80000000000001,10.0,-40.407
47,0,0,24,-34.72000000000002,10.0,-40.587
48,0,0,22,-31.480000000000004,10.0,-39.768
49,0,0,11,-49.66,10.0,-40.19100000000001
50,0,0,33,-37.42,10.0,-39.912000000000006
51,0,0,15,-42.99999999999999,10.0,-40.002
52,0,0,7,-49.12000000000001,10.0,-40.254000000000005
53,0,0,8,-49.12000000000002,10.0,-40.69500000000001
54,0,0,17,-45.160000000000004,10.0,-40.470000000000006
55,0,0,23,-30.760000000000005,10.0,-39.732000000000006
56,0,0,34,-39.220000000000006,5.0,-39.800000000000004
57,0,0,25,-39.57999999999999,5.0,-39.74600000000001
58,0,0,16,-43.17999999999999,5.0,-39.68300000000001
59,0,0,14,-45.339999999999996,0.0,-40.62400000000001
60,0,0,23,-31.840000000000032,0.0,-39.949000000000005
61,0,0,20,-44.26,0.0,-40.60600000000001
62,0,0,12,-48.93999999999999,0.0,-40.867000000000004
63,0,0,16,-43.17999999999999,0.0,-40.723000000000006
64,0,0,10,-49.12000000000002,0.0,-41.587
65,0,0,35,-28.780000000000022,0.0,-41.434000000000005
66,0,0,11,-49.12000000000002,0.0,-41.650000000000006
67,0,0,21,-46.419999999999995,0.0,-42.23500000000001
68,100,1,19,-27.419999999999987,5.0,-42.032000000000004
69,0,0,38,-29.860000000000028,5.0,-41.042
70,0,0,29,-37.42,5.0,-41.04200000000001
71,100,1,26,-22.559999999999988,10.0,-40.02
72,0,0,23,-39.760000000000005,10.0,-39.55200000000001
73,100,1,19,-27.419999999999987,15.0,-38.467
74,0,0,19,-43.18,15.0,-38.36800000000001
75,0,0,21,-39.040000000000006,15.0,-38.782000000000004
76,0,0,18,-41.92,15.0,-38.917
77,0,0,27,-41.56,15.0,-39.016000000000005
78,0,0,17,-48.4,15.0,-39.277
79,0,0,38,-29.860000000000028,15.0,-38.503
80,0,0,33,-38.86,15.0,-38.854
81,0,0,29,-44.97999999999999,15.0,-38.89
82,0,0,29,-41.379999999999995,15.0,-38.51200000000001
83,100,1,36,-26.33999999999999,20.0,-37.67
84,100,1,14,-34.61999999999998,25.0,-36.945
85,0,0,27,-44.980000000000004,25.0,-37.755
86,0,0,27,-44.260000000000005,25.0,-37.512
87,100,1,33,-32.64,30.0,-36.82299999999999
88,0,0,13,-43.0,25.0,-37.602
89,0,0,32,-37.06,25.0,-37.962
90,100,1,32,-30.299999999999997,30.0,-37.605999999999995
91,100,1,32,-28.859999999999985,30.0,-37.921
92,0,0,7,-48.76,30.0,-38.370999999999995
93,0,0,14,-45.339999999999996,25.0,-39.267
94,0,0,13,-71.62000000000002,25.0,-40.689
95,0,0,30,-39.93999999999998,25.0,-40.733999999999995
96,100,1,37,-22.200000000000003,30.0,-39.748000000000005
97,0,0,10,-44.08,30.0,-39.874
98,100,1,37,-22.200000000000003,35.0,-38.564
99,100,1,35,-25.08,40.0,-38.325
100,0,0,26,-51.10000000000001,40.0,-38.937
101,100,1,30,-32.639999999999986,45.0,-38.32
102,0,0,29,-42.82000000000001,45.0,-38.391999999999996
103,100,1,18,-62.339999999999996,45.0,-40.192
104,0,0,11,-48.400000000000006,40.0,-40.881
105,0,0,26,-47.14000000000001,40.0,-40.989
106,100,1,18,-62.339999999999996,45.0,-41.893
107,0,0,29,-41.37999999999999,40.0,-42.33
